Phone,AnnualRevenue,ACCOUNT.RATING,NAME,Account.Type
111-111-1111,125000,Hot,United Solar Panels,Business
222-222-2222,270000,Hot,Trucks of America,Business
333-333-3333,250000,Hot,Mice Inc,Business
444-444-4444,100000,Hot,Home Improvement,Business
555-555-5555,80000,Hot,Stellar Furnitures,Business
666-666-6666,60000,Hot,Watson Industries,Business
777-777-7777,270000,Hot,Luigi's Pizza,Business
888-888-8888,100000,Hot,Boo's Builders,Business
999-999-9999,120000,Hot,Amazing Corporation,Business
101-101-1010,675000,Hot,Sunrise Movers,Business
